,distance_function,mask,prealign,preprocess,postprocess,postalign,cam,eer
62,hamming_dist,fingerfocus,huang_fingertip,hist_eq,id,center_of_mass,1,0.3756281407035176
63,hamming_dist,fingerfocus,huang_fingertip,hist_eq,id,center_of_mass,2,0.34045226130653267
64,hamming_dist,fingerfocus,huang_fingertip,hist_eq,id,miura_matching,1,0.2876884422110553
65,hamming_dist,fingerfocus,huang_fingertip,hist_eq,id,miura_matching,2,0.25
66,hamming_dist,fingerfocus,huang_fingertip,hist_eq,skeletonize,id,1,0.20477386934673367
67,hamming_dist,fingerfocus,huang_fingertip,hist_eq,skeletonize,id,2,0.21733668341708542
68,hamming_dist,fingerfocus,huang_fingertip,hist_eq,skeletonize,center_of_mass,1,0.25
69,hamming_dist,fingerfocus,huang_fingertip,hist_eq,skeletonize,center_of_mass,2,0.2562814070351759
70,hamming_dist,fingerfocus,huang_fingertip,hist_eq,skeletonize,miura_matching,1,0.1620603015075377
71,hamming_dist,fingerfocus,huang_fingertip,hist_eq,skeletonize,miura_matching,2,0.13693467336683418
72,hamming_dist,fingerfocus,translation,id,id,id,1,0.37311557788944727
73,hamming_dist,fingerfocus,translation,id,id,id,2,0.3278894472361809
74,hamming_dist,fingerfocus,translation,id,id,center_of_mass,1,0.4007537688442211
75,hamming_dist,fingerfocus,translation,id,id,center_of_mass,2,0.371859296482412
76,hamming_dist,fingerfocus,translation,id,id,miura_matching,1,0.29145728643216084
77,hamming_dist,fingerfocus,translation,id,id,miura_matching,2,0.25125628140703515
78,hamming_dist,fingerfocus,translation,id,skeletonize,id,1,0.26005025125628145
79,hamming_dist,fingerfocus,translation,id,skeletonize,id,2,0.23115577889447236
80,hamming_dist,fingerfocus,translation,id,skeletonize,center_of_mass,1,0.29396984924623115
81,hamming_dist,fingerfocus,translation,id,skeletonize,center_of_mass,2,0.27261306532663315
82,hamming_dist,fingerfocus,translation,id,skeletonize,miura_matching,1,0.14824120603015076
83,hamming_dist,fingerfocus,translation,id,skeletonize,miura_matching,2,0.13316582914572864
84,hamming_dist,fingerfocus,translation,hist_eq,id,id,1,0.3492462311557789
85,hamming_dist,fingerfocus,translation,hist_eq,id,id,2,0.292713567839196
86,hamming_dist,fingerfocus,translation,hist_eq,id,center_of_mass,1,0.36683417085427134
87,hamming_dist,fingerfocus,translation,hist_eq,id,center_of_mass,2,0.3467336683417085
88,hamming_dist,fingerfocus,translation,hist_eq,id,miura_matching,1,0.32663316582914576
89,hamming_dist,fingerfocus,translation,hist_eq,id,miura_matching,2,0.27638190954773867
90,hamming_dist,fingerfocus,translation,hist_eq,skeletonize,id,1,0.20979899497487436
91,hamming_dist,fingerfocus,translation,hist_eq,skeletonize,id,2,0.20477386934673367
92,hamming_dist,fingerfocus,translation,hist_eq,skeletonize,center_of_mass,1,0.2550251256281407
93,hamming_dist,fingerfocus,translation,hist_eq,skeletonize,center_of_mass,2,0.24246231155778894
94,hamming_dist,fingerfocus,translation,hist_eq,skeletonize,miura_matching,1,0.18090452261306533
95,hamming_dist,fingerfocus,translation,hist_eq,skeletonize,miura_matching,2,0.17587939698492464
96,hamming_dist,edge,id,id,id,id,1,0.3831658291457286
97,hamming_dist,edge,id,id,id,id,2,0.3806532663316583
98,hamming_dist,edge,id,id,id,center_of_mass,1,0.35050251256281406
99,hamming_dist,edge,id,id,id,center_of_mass,2,0.3592964824120603
100,hamming_dist,edge,id,id,id,miura_matching,1,0.27386934673366836
101,hamming_dist,edge,id,id,id,miura_matching,2,0.21482412060301503
102,hamming_dist,edge,id,id,skeletonize,id,1,0.27638190954773867
103,hamming_dist,edge,id,id,skeletonize,id,2,0.27638190954773867
104,hamming_dist,edge,id,id,skeletonize,center_of_mass,1,0.21608040201005024
105,hamming_dist,edge,id,id,skeletonize,center_of_mass,2,0.25879396984924624
106,hamming_dist,edge,id,id,skeletonize,miura_matching,1,0.12311557788944724
107,hamming_dist,edge,id,id,skeletonize,miura_matching,2,0.11557788944723618
108,hamming_dist,edge,id,hist_eq,id,id,1,0.3668341708542714
109,hamming_dist,edge,id,hist_eq,id,id,2,0.3442211055276382
110,hamming_dist,edge,id,hist_eq,id,center_of_mass,1,0.3442211055276382
111,hamming_dist,edge,id,hist_eq,id,center_of_mass,2,0.3454773869346734
112,hamming_dist,edge,id,hist_eq,id,miura_matching,1,0.24748743718592964
113,hamming_dist,edge,id,hist_eq,id,miura_matching,2,0.21608040201005024
114,hamming_dist,edge,id,hist_eq,skeletonize,id,1,0.2537688442211055
115,hamming_dist,edge,id,hist_eq,skeletonize,id,2,0.24120603015075376
116,hamming_dist,edge,id,hist_eq,skeletonize,center_of_mass,1,0.20979899497487436
117,hamming_dist,edge,id,hist_eq,skeletonize,center_of_mass,2,0.22738693467336685
118,hamming_dist,edge,id,hist_eq,skeletonize,miura_matching,1,0.12688442211055276
119,hamming_dist,edge,id,hist_eq,skeletonize,miura_matching,2,0.11683417085427136
120,hamming_dist,edge,huang_normalization,id,id,id,1,0.335427135678392
121,hamming_dist,edge,huang_normalization,id,id,id,2,0.3479899497487437
122,hamming_dist,edge,huang_normalization,id,id,center_of_mass,1,0.3492462311557789
123,hamming_dist,edge,huang_normalization,id,id,center_of_mass,2,0.36683417085427134
124,hamming_dist,edge,huang_normalization,id,id,miura_matching,1,0.26633165829145733
125,hamming_dist,edge,huang_normalization,id,id,miura_matching,2,0.19974874371859297
126,hamming_dist,edge,huang_normalization,id,skeletonize,id,1,0.20477386934673367
127,hamming_dist,edge,huang_normalization,id,skeletonize,id,2,0.22487437185929648
128,hamming_dist,edge,huang_normalization,id,skeletonize,center_of_mass,1,0.22864321608040206
129,hamming_dist,edge,huang_normalization,id,skeletonize,center_of_mass,2,0.2550251256281407
130,hamming_dist,edge,huang_normalization,id,skeletonize,miura_matching,1,0.12060301507537685
131,hamming_dist,edge,huang_normalization,id,skeletonize,miura_matching,2,0.10175879396984924
132,hamming_dist,edge,huang_normalization,hist_eq,id,id,1,0.32788944723618085
133,hamming_dist,edge,huang_normalization,hist_eq,id,id,2,0.30778894472361806
134,hamming_dist,edge,huang_normalization,hist_eq,id,center_of_mass,1,0.3391959798994975
135,hamming_dist,edge,huang_normalization,hist_eq,id,center_of_mass,2,0.33919597989949746
136,hamming_dist,edge,huang_normalization,hist_eq,id,miura_matching,1,0.27386934673366836
137,hamming_dist,edge,huang_normalization,hist_eq,id,miura_matching,2,0.24623115577889443
138,hamming_dist,edge,huang_normalization,hist_eq,skeletonize,id,1,0.19974874371859297
139,hamming_dist,edge,huang_normalization,hist_eq,skeletonize,id,2,0.20351758793969849
140,hamming_dist,edge,huang_normalization,hist_eq,skeletonize,center_of_mass,1,0.22236180904522612
141,hamming_dist,edge,huang_normalization,hist_eq,skeletonize,center_of_mass,2,0.24120603015075376
142,hamming_dist,edge,huang_normalization,hist_eq,skeletonize,miura_matching,1,0.13567839195979903
143,hamming_dist,edge,huang_normalization,hist_eq,skeletonize,miura_matching,2,0.12060301507537685
144,hamming_dist,edge,huang_fingertip,id,id,id,1,0.33919597989949746
145,hamming_dist,edge,huang_fingertip,id,id,id,2,0.35050251256281406
146,hamming_dist,edge,huang_fingertip,id,id,center_of_mass,1,0.35050251256281406
147,hamming_dist,edge,huang_fingertip,id,id,center_of_mass,2,0.3555276381909548
148,hamming_dist,edge,huang_fingertip,id,id,miura_matching,1,0.2638190954773869
149,hamming_dist,edge,huang_fingertip,id,id,miura_matching,2,0.1871859296482412
150,hamming_dist,edge,huang_fingertip,id,skeletonize,id,1,0.21105527638190955
151,hamming_dist,edge,huang_fingertip,id,skeletonize,id,2,0.22613065326633164
152,hamming_dist,edge,huang_fingertip,id,skeletonize,center_of_mass,1,0.2298994974874372
153,hamming_dist,edge,huang_fingertip,id,skeletonize,center_of_mass,2,0.2550251256281407
154,hamming_dist,edge,huang_fingertip,id,skeletonize,miura_matching,1,0.12185929648241206
155,hamming_dist,edge,huang_fingertip,id,skeletonize,miura_matching,2,0.10175879396984924
156,hamming_dist,edge,huang_fingertip,hist_eq,id,id,1,0.33542713567839194
157,hamming_dist,edge,huang_fingertip,hist_eq,id,id,2,0.31155778894472363
158,hamming_dist,edge,huang_fingertip,hist_eq,id,center_of_mass,1,0.3467336683417085
159,hamming_dist,edge,huang_fingertip,hist_eq,id,center_of_mass,2,0.3391959798994975
160,hamming_dist,edge,huang_fingertip,hist_eq,id,miura_matching,1,0.26884422110552764
161,hamming_dist,edge,huang_fingertip,hist_eq,id,miura_matching,2,0.24120603015075381
162,hamming_dist,edge,huang_fingertip,hist_eq,skeletonize,id,1,0.21105527638190955
163,hamming_dist,edge,huang_fingertip,hist_eq,skeletonize,id,2,0.20100502512562812
164,hamming_dist,edge,huang_fingertip,hist_eq,skeletonize,center_of_mass,1,0.2135678391959799
165,hamming_dist,edge,huang_fingertip,hist_eq,skeletonize,center_of_mass,2,0.23869346733668342
