,distance_function,mask,prealign,preprocess,postprocess,postalign,eer,tau
58,random_subsampling_dist,fingerfocus,huang_fingertip,hist_eq,id,miura_matching,0.07286432160804024,0.35
59,random_subsampling_dist,fingerfocus,huang_fingertip,hist_eq,skeletonize,miura_matching,0.09673366834170849,0.35
60,random_subsampling_dist,fingerfocus,translation,id,id,miura_matching,0.07412060301507538,0.45
61,random_subsampling_dist,fingerfocus,translation,id,skeletonize,miura_matching,0.0829145728643216,0.35
62,random_subsampling_dist,fingerfocus,translation,hist_eq,id,miura_matching,0.0879396984924623,0.4
63,random_subsampling_dist,fingerfocus,translation,hist_eq,skeletonize,miura_matching,0.11180904522613065,0.45
64,skeleton_hd,edge,id,id,id,miura_matching,0.10427135678391959,0.5
65,skeleton_hd,edge,id,id,skeletonize,miura_matching,0.04522613065326633,0.25
66,skeleton_hd,edge,id,hist_eq,id,miura_matching,0.09045226130653267,0.4
67,skeleton_hd,edge,id,hist_eq,skeletonize,miura_matching,0.05778894472361806,0.5
68,skeleton_hd,edge,huang_normalization,id,id,miura_matching,0.09547738693467336,0.5
69,skeleton_hd,edge,huang_normalization,id,skeletonize,miura_matching,0.038944723618090454,0.4
70,skeleton_hd,edge,huang_normalization,hist_eq,id,miura_matching,0.07035175879396985,0.4
71,skeleton_hd,edge,huang_normalization,hist_eq,skeletonize,miura_matching,0.04271356783919598,0.45
72,skeleton_hd,edge,huang_fingertip,id,id,miura_matching,0.09170854271356788,0.4
73,skeleton_hd,edge,huang_fingertip,id,skeletonize,miura_matching,0.04020100502512563,0.45
74,skeleton_hd,edge,huang_fingertip,hist_eq,id,miura_matching,0.07412060301507538,0.5
75,skeleton_hd,edge,huang_fingertip,hist_eq,skeletonize,miura_matching,0.0414572864321608,0.4
76,skeleton_hd,edge,translation,id,id,miura_matching,0.10175879396984921,0.3
77,skeleton_hd,edge,translation,id,skeletonize,miura_matching,0.035175879396984924,0.5
78,skeleton_hd,edge,translation,hist_eq,id,miura_matching,0.07035175879396982,0.4
79,skeleton_hd,edge,translation,hist_eq,skeletonize,miura_matching,0.0364321608040201,0.45
80,skeleton_hd,fingerfocus,id,id,id,miura_matching,0.10804020100502512,0.55
81,skeleton_hd,fingerfocus,id,id,skeletonize,miura_matching,0.04773869346733668,0.6
82,skeleton_hd,fingerfocus,id,hist_eq,id,miura_matching,0.10175879396984921,0.5
83,skeleton_hd,fingerfocus,id,hist_eq,skeletonize,miura_matching,0.06155778894472362,0.35
84,skeleton_hd,fingerfocus,huang_normalization,id,id,miura_matching,0.12688442211055276,0.55
85,skeleton_hd,fingerfocus,huang_normalization,id,skeletonize,miura_matching,0.05778894472361806,0.35
86,skeleton_hd,fingerfocus,huang_normalization,hist_eq,id,miura_matching,0.0829145728643216,0.55
87,skeleton_hd,fingerfocus,huang_normalization,hist_eq,skeletonize,miura_matching,0.05527638190954774,0.45
88,skeleton_hd,fingerfocus,huang_fingertip,id,id,miura_matching,0.12060301507537688,0.6
89,skeleton_hd,fingerfocus,huang_fingertip,id,skeletonize,miura_matching,0.05402010050251256,0.35
90,skeleton_hd,fingerfocus,huang_fingertip,hist_eq,id,miura_matching,0.0879396984924623,0.4
91,skeleton_hd,fingerfocus,huang_fingertip,hist_eq,skeletonize,miura_matching,0.05527638190954774,0.45
92,skeleton_hd,fingerfocus,translation,id,id,miura_matching,0.13442211055276382,0.45
93,skeleton_hd,fingerfocus,translation,id,skeletonize,miura_matching,0.05904522613065322,0.4
94,skeleton_hd,fingerfocus,translation,hist_eq,id,miura_matching,0.0992462311557789,0.55
95,skeleton_hd,fingerfocus,translation,hist_eq,skeletonize,miura_matching,0.05653266331658291,0.35
96,miura_distance,edge,id,id,id,miura_matching,0.04271356783919598,0.65
97,miura_distance,edge,id,id,skeletonize,miura_matching,0.048994974874371856,0.45
98,miura_distance,edge,id,hist_eq,id,miura_matching,0.04522613065326633,0.6
99,miura_distance,edge,id,hist_eq,skeletonize,miura_matching,0.04396984924623116,0.5
100,miura_distance,edge,huang_normalization,id,id,miura_matching,0.0364321608040201,0.4
101,miura_distance,edge,huang_normalization,id,skeletonize,miura_matching,0.04020100502512558,0.0
102,miura_distance,edge,huang_normalization,hist_eq,id,miura_matching,0.03768844221105527,0.45
103,miura_distance,edge,huang_normalization,hist_eq,skeletonize,miura_matching,0.041457286432160845,0.4
104,miura_distance,edge,huang_fingertip,id,id,miura_matching,0.03768844221105527,0.45
105,miura_distance,edge,huang_fingertip,id,skeletonize,miura_matching,0.04020100502512563,0.2
106,miura_distance,edge,huang_fingertip,hist_eq,id,miura_matching,0.03768844221105527,0.6
107,miura_distance,edge,huang_fingertip,hist_eq,skeletonize,miura_matching,0.04020100502512563,0.5
108,miura_distance,edge,translation,id,id,miura_matching,0.03015075376884422,0.55
109,miura_distance,edge,translation,id,skeletonize,miura_matching,0.035175879396984924,0.45
110,miura_distance,edge,translation,hist_eq,id,miura_matching,0.03015075376884422,0.7
111,miura_distance,edge,translation,hist_eq,skeletonize,miura_matching,0.03768844221105527,0.6
112,miura_distance,fingerfocus,id,id,id,miura_matching,0.05025125628140703,0.4
113,miura_distance,fingerfocus,id,id,skeletonize,miura_matching,0.05653266331658291,0.3
114,miura_distance,fingerfocus,id,hist_eq,id,miura_matching,0.05025125628140704,0.5
115,miura_distance,fingerfocus,id,hist_eq,skeletonize,miura_matching,0.06030150753768844,0.2
116,miura_distance,fingerfocus,huang_normalization,id,id,miura_matching,0.05025125628140704,0.4
117,miura_distance,fingerfocus,huang_normalization,id,skeletonize,miura_matching,0.05904522613065322,0.3
118,miura_distance,fingerfocus,huang_normalization,hist_eq,id,miura_matching,0.04271356783919598,0.4
119,miura_distance,fingerfocus,huang_normalization,hist_eq,skeletonize,miura_matching,0.0653266331658291,0.4
120,miura_distance,fingerfocus,huang_fingertip,id,id,miura_matching,0.04773869346733668,0.15
121,miura_distance,fingerfocus,huang_fingertip,id,skeletonize,miura_matching,0.052763819095477386,0.3
122,miura_distance,fingerfocus,huang_fingertip,hist_eq,id,miura_matching,0.04271356783919598,0.3
123,miura_distance,fingerfocus,huang_fingertip,hist_eq,skeletonize,miura_matching,0.06658291457286432,0.55
124,miura_distance,fingerfocus,translation,id,id,miura_matching,0.04648241206030151,0.4
125,miura_distance,fingerfocus,translation,id,skeletonize,miura_matching,0.06658291457286432,0.2
126,miura_distance,fingerfocus,translation,hist_eq,id,miura_matching,0.048994974874371856,0.4
127,miura_distance,fingerfocus,translation,hist_eq,skeletonize,miura_matching,0.06658291457286432,0.5
