,Unnamed: 0,dataset_id,distance_function,mask,prealign,preprocess,feature_extractor,postprocess,postalign,id_m,id_p,side_m,side_p,finger_m,finger_p,trial_m,trial_p,camera_m,camera_p,distance
14,14,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,3,4,1,1,0.7713399706218378
15,15,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,3,4,2,2,0.6873822975517891
16,16,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,3,5,1,1,0.7094628305338433
17,17,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,3,5,2,2,0.6807856532877883
18,18,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,4,5,1,1,0.7387402088772845
19,19,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,4,5,2,2,0.68764765440432
20,20,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,middle,middle,1,2,1,1,0.6938035596572182
21,21,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,middle,middle,1,2,2,2,0.809192425958893
22,22,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,middle,middle,1,3,1,1,0.7416707697357623
23,23,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,middle,middle,1,3,2,2,0.8373022481265612
24,24,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,middle,middle,1,4,1,1,0.8010462904248573
25,25,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,middle,middle,1,4,2,2,0.869497346237902
26,26,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,middle,middle,1,5,1,1,0.8088283557597638
27,27,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,middle,middle,1,5,2,2,0.8593595245955761
28,28,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,middle,middle,2,3,1,1,0.6852556677147112
29,29,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,middle,middle,2,3,2,2,0.7362284555593106
30,30,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,middle,middle,2,4,1,1,0.7674976030680729
31,31,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,middle,middle,2,4,2,2,0.8222820066466213
32,32,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,middle,middle,2,5,1,1,0.8037723362011913
33,33,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,middle,middle,2,5,2,2,0.8213029643275833
34,34,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,middle,middle,3,4,1,1,0.7077829062549738
35,35,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,middle,middle,3,4,2,2,0.7625711960943857
36,36,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,middle,middle,3,5,1,1,0.8045806557917284
37,37,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,middle,middle,3,5,2,2,0.7424529929273762
38,38,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,middle,middle,4,5,1,1,0.753182686187142
39,39,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,middle,middle,4,5,2,2,0.8207486285898677
40,40,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,right,right,index,index,1,2,1,1,0.9001028353165859
41,41,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,right,right,index,index,1,2,2,2,0.9278468586387436
42,42,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,right,right,index,index,1,3,1,1,0.8751844201829448
43,43,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,right,right,index,index,1,3,2,2,0.8626364399664148
44,44,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,right,right,index,index,1,4,1,1,0.9025993426949508
45,45,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,right,right,index,index,1,4,2,2,0.8685352018685352
46,46,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,right,right,index,index,1,5,1,1,0.8775112443778111
47,47,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,right,right,index,index,1,5,2,2,0.881809177946517
48,48,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,right,right,index,index,2,3,1,1,0.806675152029416
49,49,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,right,right,index,index,2,3,2,2,0.8679152291769344
50,50,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,right,right,index,index,2,4,1,1,0.7888936596536424
51,51,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,right,right,index,index,2,4,2,2,0.870388507998694
52,52,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,right,right,index,index,2,5,1,1,0.8031021111589832
53,53,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,right,right,index,index,2,5,2,2,0.8718901453957997
54,54,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,right,right,index,index,3,4,1,1,0.8058350100603622
55,55,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,right,right,index,index,3,4,2,2,0.8435248785391187
56,56,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,right,right,index,index,3,5,1,1,0.7957888664551486
57,57,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,right,right,index,index,3,5,2,2,0.8891098955743412
58,58,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,right,right,index,index,4,5,1,1,0.7372262773722628
59,59,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,right,right,index,index,4,5,2,2,0.7244729907773386
60,60,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,right,right,middle,middle,1,2,1,1,0.8204261572373255
61,61,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,right,right,middle,middle,1,2,2,2,0.9283998799159412
62,62,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,right,right,middle,middle,1,3,1,1,0.811619979250037
63,63,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,right,right,middle,middle,1,3,2,2,0.9065743944636678
64,64,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,right,right,middle,middle,1,4,1,1,0.7989614243323442
65,65,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,right,right,middle,middle,1,4,2,2,0.9313696172248804
66,66,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,right,right,middle,middle,1,5,1,1,0.7585166019836136
67,67,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,right,right,middle,middle,1,5,2,2,0.8904230317273796
68,68,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,right,right,middle,middle,2,3,1,1,0.7286726208808131
69,69,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,right,right,middle,middle,2,3,2,2,0.8107716809034313
